adtc,dt,gbtc,knn,nb,rfc,svc
0.38897396528957573,0.5503529181183926,0.9647058847447822,0.4910230606893299,,0.4359981256537053,1.0
0.48045267551639204,0.43141139691081765,0.29999997948791546,0.5444002551786941,0.0,0.48554659526237376,0.2532467513802479
0.4387211386315014,0.5713673141741868,0.02651514888310358,0.5927032641102558,1.0,0.49281321113711796,0.467852254783648
0.4042179251048167,0.610963191669688,0.5450980481581523,0.5133834488754698,1.0,0.4930297391790348,0.06593406584415906
0.6856729856957215,0.44211055588130854,0.4871794895222028,0.4789775851571384,,0.5446665011552352,0.7335423157896179
0.49826475039332563,0.570602066860928,0.034585569696234275,0.6002552268668242,,0.5086202154865922,0.24566799965274344
0.4539127971401131,0.43688427469408864,0.27147766729470924,0.6058386012541614,,0.5440926014570023,0.0
0.5339975081548008,0.5476761568481491,0.25499231826879776,0.5883144474347759,0.08656075546717501,0.4794015533533401,0.4855403354339747
0.3852121211116306,0.4559523857465193,0.5201342286117919,0.4588532705295383,,0.4765824775932399,0.9453302958153722
0.7172027466427607,0.45573771605503666,0.34948097177705884,0.529593570942831,0.900900893995104,0.5361760079553088,0.4444444232114181
